Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Bulyanhulu Gold Mine,100,Bulyanhulu Gold Mine Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Buzwagi Gold Mine,100,Acacia Mining Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
North Mara Gold Mine,100,North Mara Gold Mine Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Gold Corp,,United Kingdom,,Canada,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulyanhulu Gold Mine Ltd,100,Acacia Mining Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
North Mara Gold Mine Ltd,100,Acacia Mining Ltd,,Tanzania,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Acacia Mining Ltd,63.9,Barrick Gold Corp,,United Kingdom,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
BUK HoldCo Ltd,100,Acacia Mining Ltd,,United Kingdom,,,http://www.acaciamining.com/~/media/Files/A/Acacia/reports/2015/2014-annual-report-and-accounts-v2.pdf,2015,High,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Barrick Tanzanian Holdings Ltd,100,BUK HoldCo Ltd,,Cayman Islands,,,https://s3-eu-west-1.amazonaws.com/document-api-images-prod/docs/_tlAlahgxcdgkq740BBr1dnbF83zgqhPzY3N3P0aw9E/application-pdf?AWSAccessKeyId=ASIAJVK4YHLGNUOTDCBQ&Expires=1436192115&Signature=HNqH6Npuof0QocrXkKQYfLgs3%2BI%3D&x-amz-security-token=AQoDYXdzEBMa0ANnKtLhV5uKBdh2EZgM9IhjUm5viOzVf6nK%2BvJmsXvy9a%2BVAtZExmTYjUv2Vs8zJogKuKQjHQLy%2FAfnuZcJjCm721T5fjBP9JymVP0atpO958LgBYHXAo0Hd4LgVEXOiGDijGRoD2USe99yuAvPAeimK8Izme4DhOCvO11rCF%2BMDVgCf54dH00ZjRNOcGFEywVvaG33HpCQe3qzyZirpqU73R0fhYwArXRZ5%2B2r2J9kr%2BuvR2oHala7gUjEW3W2nqMBgRpo8I36arsBkJliNHdGWt77WVQnjT699rF4e7e85fGj8gPpudOKjzYrWl5cqM7l7e1tY4gVWvAjlFHOvoIUDAfbOjJkhxyRqmRnEowvID6bx0ArjobG%2BJRLpou1BQDzqb6okGawSPixAtCfZiCZEzWqIOQcUMVNE7A8t6uDezBUuA8UMq%2B8nypOCQkeaY60AHNfELHrvNHriRGNm%2BGCld2DXMJQSE%2FD12DPmFgDi5XZkqbaIWwlZx6J0dqOpZr%2BaRIu96oX9n8psWB5%2Bh8oNxrKVw7PmSzh6KOLtT%2BqkGU9ATeg7HBwMYchJI7SA8F1LhJzCIf5Oqwzcx1U6m1gaPFkoa0GqzdvouCmG9hDoyCzpemsBQ%3D%3D,2013,High,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
