Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Buckreef Prospect,100,Buckreef Gold Company Limited,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Eastern Porphyry,100,Buckreef Gold Company Limited,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Tembo Prospect,100,Buckreef Gold Company Limited,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Bingwa Prospect,100,Buckreef Gold Company Limited,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Buziba Prospect,100,Buckreef Gold Company Limited,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Busolwa Prospect,100,Buckreef Gold Company Limited,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Tanzania Royalty Exploration Company,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckreef Gold Company Limited,55,Tanzam,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Buckreef Gold Company Limited,45,Stamico,,Tanzania,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Tanzam,100,Tanzania Royalty Exploration Company,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00008194&fileName=/csfsprod/data151/filings/02372904/00000001/C%3A%5CDATA%5Ctnxfinasq3jul15.pdf,high,7/15/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
