Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Geita Gold Mine,100,Geita Gold Mining Limited,,,,,http://portal.mem.go.tz/map/,medium,7/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti Limited,,,,South Africa,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti Australia Limited,100,AngloGold Ashanti Limited,,Australia,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti Holdings plc,100,AngloGold Ashanti Limited,,Isle of Man,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti USA Incorporated,100,AngloGold Ashanti Limited,,United States,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti Córrego do Sítio Mineração S.A,100,AngloGold Ashanti Limited,,Brazil,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti (Ghana) Limited,100,AngloGold Ashanti Limited,,Ghana,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti (Iduapriem) Limited,100,AngloGold Ashanti Limited,,Ghana,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Cerro Vanguardia S.A,92.5,AngloGold Ashanti Limited,,Argentina,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
AngloGold Ashanti (Colorado) Corp,100,AngloGold Ashanti Limited,,United States,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Geita Gold Mining Limited,100,AngloGold Ashanti Limited,,Tanzania,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Mineração Serra Grande S.A,100,AngloGold Ashanti Limited,,Brazil,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Societé AngloGold Ashanti de Guinée S.A,85,AngloGold Ashanti Limited,,Republic of Guinea,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Kibali (Jersey) Limited,50,AngloGold Ashanti Limited,,Jersey,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Société des Mines de Morila S.A,40,AngloGold Ashanti Limited,,Mali,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Société d'Exploitation des Mines d'Or de Sadiola S.A,41,AngloGold Ashanti Limited,,Mali,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
Société d'Exploitation des Mines d'Or de Yatela SA,40,AngloGold Ashanti Limited,,Mali,,,http://www.anglogoldashanti.com/en/Media/Reports/Annual%20Reports/AGA-AFS14.pdf,high,3/19/2015,,,,,indirect,,,,,,,,,,,,,,,,,,,,,,,
