Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Golden Pride,,Resolute (Tanzania) Limited,,,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolute Mining Limited,,,,Australia,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Gold Cote d'Ivoire SARL,100,Resolute (CDI Holdings) Limited,,Cote d'Ivoire,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Carpentaria Gold Pty Ltd,100,Resolute Mining Limited,,Australia,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Drilling and Mining Services Limited,100,Resolute (Bibiani) Limited,,Ghana,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Excalibur Cote d'Ivoire SARL,100,Resolute (CDI Holdings) Limited Resolute (Treasury) Pty Ltd,,Cote d'Ivoire,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Goudhurst Pty Ltd,100,Resolute (Treasury) Pty Ltd,,Australia,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Mabangu Exploration Limited,100,Resolute (Tanzania) Limited,,Tanzania,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Mabangu Mining Limited,100,Resolute (Tanzania) Limited,,Tanzania,,,http://www.rml.com.au/wp-content/uploads/2014/10/2014-Annual-Report.pdf,high,9/16/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
