Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Tancoal Mine,100,TANCOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy Corp,,,,Australia,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANCOAL,70,Intra Energy (Tanzania) Limited,,Tanzania,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANCOAL,30,National Development Corporation,,Tanzania,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy (Tanzania) Limited,100,Intra Energy Corp,,Tanzania,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA Drilling Limited,100,Intra Energy Corp,,Mauritius,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy Limited,100,Intra Energy Corp,,Mauritius,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic Resources Pty Ltd,100,Intra Energy Corp,,Australia,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy Corporation (Singapore) Pte Ltd,100,Intra Energy Corp,,Singapore,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy (Sarawak) Sdn Bhd,100,Intra Energy Corporation (Singapore) Pte Ltd,,Malaysia,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy Laos Pte Ltd,100,Intra Energy Corporation (Singapore) Pte Ltd,,Singapore,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy Vietnam Pte Ltd,100,Intra Energy Corporation (Singapore) Pte Ltd,,Singapore,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intra Energy Trading Limited,100,Intra Energy Limited,,Malawi,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Africa Mining Limited,100,Intra Energy Limited,,Mauritius,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcoal Mining Limited,90,East Africa Mining Limited,,Malawi,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA Drilling Limited,100,AAA Drilling Limited,,Tanzania,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzacoal East Africa Mining Limited,70,Intra Energy (Tanzania) Limited,,Tanzania,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzacoal East Africa Mining Limited,30,Olympic Exploration Ltd,,Tanzania,,,http://www.intraenergycorp.com.au/irm/content/corporate-structure.aspx?RID=223,medium,7/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
