Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Kilosa-Kilombero,50,Swala Oil and Gas (Tanzania) Plc,,,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Pangani,50,Swala Oil and Gas (Tanzania) Plc,,,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Kilosa-Kilombero,50,Otto Energy (Tanzania) Pty Ltd,,,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Pangani,50,Otto Energy (Tanzania) Pty Ltd,,,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Swala Energy Limited,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swala Oil and Gas (Tanzania) Plc,58.5,Swala Energy Limited,,Tanzania,,,http://www.swala-energy.co.tz/documents/SWALA2014AuditedFS.pdf,high,3/30/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Swala Energy Limited,100,Swala Energy Limited,,British Virgin Islands,,,http://www.swala-energy.co.tz/documents/SWALA2014AuditedFS.pdf,high,3/30/2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Swala Energy Australia Pty Ltd,100,Swala Energy Limited,,Australia,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Swala Energy (Kenya) Limited,100,Swala Energy Limited,,Kenya,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Swala Energy (Zambia) Limited,100,Swala Energy Limited,,Zambia,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Swala Energy (Uganda) Limited,100,Swala Energy Limited,,Uganda,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Swala Oil and Gas (Tanzania) Plc,9,Erncon Holding Limited,,,,,http://www.swala-energy.com/documents/SWEStatutoryReportfortheyearended31Dec2014FINAL30_03_15.pdf,high,3/30/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Otto Energy Ltd,,,,Australia,,,http://www.ottoenergy.com/irm/content/annualreport/2014/index.html,high,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto Energy (Tanzania) Pty Ltd,,Otto Energy Ltd,,Australia,,,http://www.ottoenergy.com/irm/content/annualreport/2014/index.html,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
