Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Mnazi Bay PSA,48.06,Maurel & Prom Exploration Production Tanzania Ltd,,,,,http://www.londonstockexchange.com/exchange/news/market-news/market-news-detail/12273758.html,high,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom SA,,,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Tanzania Ltd,99.9,Maurel & Prom SA,,Tanzania,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Exploration Production Tanzania Ltd,99.9,Maurel & Prom SA,,Tanzania,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom West Africa SAS,100,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Gabon SA,100,Maurel & Prom West Africa SAS,,Gabon,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Exploration Production Gabon SA,100,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Développment Gabon,100,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Congo SA,99.9,Maurel & Prom SA,,Congo,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Zetah Noumbi Ltd,49,Maurel & Prom SA,,Bahamas,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Colombia BV,50,Maurel & Prom SA,,Netherlands,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Oleo & Gas do Brazil BV,99,Maurel & Prom Colombia BV,,Brazil,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Peru Holdings SAS,100,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
M&P Peru SA,100,Maurel & Prom Peru Holdings SAS,,Peru,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Assistance Technique International SA,100,Maurel & Prom SA,,Switzerland,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Panther Eureka S.r.l.,100,Maurel & Prom SA,,Italy,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Drilling Services BV,100,Maurel & Prom SA,,Netherlands,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Caroil SAS,100,Maurel & Prom Drilling Services BV,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
ISON Holding SARL,18.64,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Assistance Technique SAS,100,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Maurel & Prom Volney 2 SAS,100,Maurel & Prom SA,,France,,,http://www.maureletprom.fr/joomdocs/MP_DDR2014_EN_V4.pdf,high,2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
