Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Mkuju River Project,100,Mantra Tanzania Ltd,,,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00005203&fileName=/csfsprod/data150/filings/02279471/00000001/C%3A%5CAK_Sedarf%5CS-V%5CU%5CUraniumOne%5CInterims%5C2014%5CNov%5CIFS.pdf,high,11/14/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Uranium One Inc,,,,Canada,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=1&issuerNo=00005203&fileName=/csfsprod/data149/filings/02188457/00000001/C%3A%5CAK_Sedarf%5CS-V%5CU%5CUraniumOne%5CAnnuals%5C2014%5CAIF.pdf,high,4/1/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Rosatom,,,,Russian Federation,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=1&issuerNo=00005203&fileName=/csfsprod/data149/filings/02188457/00000001/C%3A%5CAK_Sedarf%5CS-V%5CU%5CUraniumOne%5CAnnuals%5C2014%5CAIF.pdf,high,4/1/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Mantra Tanzania Ltd,100,Mantra Resources Pty Limited,,Tanzania,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00005203&fileName=/csfsprod/data150/filings/02279471/00000001/C%3A%5CAK_Sedarf%5CS-V%5CU%5CUraniumOne%5CInterims%5C2014%5CNov%5CIFS.pdf,high,11/14/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Mantra Resources Pty Limited,13.9,Cheetah Resource Sarl,,Australia,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=5&issuerNo=00005203&fileName=/csfsprod/data150/filings/02279471/00000001/C%3A%5CAK_Sedarf%5CS-V%5CU%5CUraniumOne%5CInterims%5C2014%5CNov%5CIFS.pdf,high,11/14/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Cheetah Resource Sarl,100,Uranium One Inc,,Luxembourg,,,http://www.sedar.com/GetFile.do?lang=EN&docClass=1&issuerNo=00005203&fileName=/csfsprod/data149/filings/02188457/00000001/C%3A%5CAK_Sedarf%5CS-V%5CU%5CUraniumOne%5CAnnuals%5C2014%5CAIF.pdf,high,4/1/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
JSC PIMCU,89.85,ARMZ Uranium Holding Co,,,,,http://www.armz.ru/media/File/facts/2014/ARMZ_annaul_report_2013_eng-web.pdf,high,6/30/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
JSC Dalur,98.89,ARMZ Uranium Holding Co,,,,,http://www.armz.ru/media/File/facts/2014/ARMZ_annaul_report_2013_eng-web.pdf,high,6/30/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
JSC Khiagda,100,ARMZ Uranium Holding Co,,,,,http://www.armz.ru/media/File/facts/2014/ARMZ_annaul_report_2013_eng-web.pdf,high,6/30/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
CJSC RUSBURMASCH,100,ARMZ Uranium Holding Co,,,,,http://www.armz.ru/media/File/facts/2014/ARMZ_annaul_report_2013_eng-web.pdf,high,6/30/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
