Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Williamson Diamond Mine,100,Williamson Diamonds Limited,,,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Petra Diamonds Limited,,,,Bermuda,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Williamson Diamonds Limited,75,Petra Diamonds Limited,,Tanzania,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Blue Diamond Mines (Pty) Ltd,100,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Crown Resources (Pty) Ltd,100,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Cullinan Diamond Mine (Pty) Ltd,74,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Cullinan Investment Holdings Ltd,100,Petra Diamonds Limited,,British Virgin Islands,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Ealing Management Services (Pty) Ltd,100,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Finsch Diamond Mine (Pty) Ltd,74,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Helam Mining (Pty) Ltd,74,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Kalahari Diamonds Ltd,100,Petra Diamonds Limited,,United Kingdom,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Petra Diamonds Botswana (Pty) Ltd,100,Petra Diamonds Limited,,Botswana,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Petra Diamonds Jersey Treasury Ltd,100,Petra Diamonds Limited,,Jersey,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Petra Diamonds Netherlands Treasury BV,100,Petra Diamonds Limited,,Netherlands,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Petra Diamonds Southern Africa (Pty) Ltd,100,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Premier Rose Management Services (Pty) Ltd,100,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Tarorite (Pty) Ltd,100,Petra Diamonds Limited,,South Africa,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
Willcroft Company Ltd,100,Petra Diamonds Limited,,Bermuda,,,https://www.petradiamonds.com/wp-content/uploads/annual-report-and-accounts-2014-v2.pdf,high,10/21/2014,,,,,direct,,,,,,,,,,,,,,,,,,,,,,,
