Child Company Name,Immediate %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,Username,Comment,Directly Controlled?,When was the relationship created?,,,Status,Name Changes,Turnover Child Company (2012),Profit after Tax Child Company (2012),Total Assets Child Company (2012),Total Liabilities Child Company (2012),Document Name,Document Summary,Document Raw,Document URL,Document Filename,,,Document Name,Document Summary,Document Raw,Document URL,Document Filename,LINK,CHECK
company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Singida Project,100,,Shanta Mining Company Limited,Tanzania,,,http://www.shantagold.com/operations/chunya,medium,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Luika Gold Mine,100,,Shanta Mining Company Limited,Tanzania,,,http://www.shantagold.com/operations/chunya,medium,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanta Gold Limited,,,,Guernsey,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Shanta Gold Holdings Limited,100,,Shanta Gold Limited,Guernsey,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Chunya Gold Holdings Limited,100,,Shanta Gold Limited,Guernsey,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Shanta Mining Company Limited,100,,Shanta Gold Limited,Tanzania,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Boulder Investments Limited,100,,Shanta Gold Limited,Cyprus,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Shield Resources Limited,100,,Shanta Gold Limited,Tanzania,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Mgusu Mining Limited,100,,Shanta Gold Limited,Tanzania,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Nsimbanguru Mining Limited,100,,Shanta Gold Limited,Tanzania,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Chunya Resources Limited,100,,Shanta Gold Limited,Tanzania,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
Songea Resources Limited,100,,Shanta Gold Limited,Tanzania,,,http://www.shantagold.com/investors-and-media/financial-reports/2015/sgl_annual_report_2014.pdf,high,4/20/2015,,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,
